timestamp,product_id,price,best_bid,best_ask,mid_price,ema_price,ema_mid
2025-06-18T10:32:13.749527Z,BTC-USD,104584,104584,104585,104585,104584,104585
2025-06-18T10:32:14.552340Z,BTC-USD,104581,104577,104581,104579,104584,104584
2025-06-18T10:32:14.552340Z,BTC-USD,104577,104577,104581,104579,104584,104584
2025-06-18T10:32:14.552340Z,BTC-USD,104577,104577,104581,104579,104584,104584
2025-06-18T10:32:15.127923Z,BTC-USD,104579,104579,104579,104579,104583,104584
2025-06-18T10:32:15.127923Z,BTC-USD,104579,104579,104579,104579,104583,104584
2025-06-18T10:32:15.188568Z,BTC-USD,104579,104579,104579,104579,104583,104583
2025-06-18T10:32:15.340789Z,BTC-USD,104579,104579,104579,104579,104583,104583
2025-06-18T10:32:16.807495Z,BTC-USD,104579,104579,104580,104580,104583,104583
2025-06-18T10:32:17.317550Z,BTC-USD,104580,104580,104580,104580,104583,104583
2025-06-18T10:32:17.317550Z,BTC-USD,104580,104580,104580,104580,104583,104583
2025-06-18T10:32:17.317550Z,BTC-USD,104580,104580,104585,104583,104582,104583
2025-06-18T10:32:17.317550Z,BTC-USD,104585,104580,104585,104583,104583,104583
2025-06-18T10:32:17.317550Z,BTC-USD,104585,104580,104585,104583,104583,104583
2025-06-18T10:32:17.380854Z,BTC-USD,104585,104585,104585,104585,104583,104583
2025-06-18T10:32:18.232708Z,BTC-USD,104585,104585,104585,104585,104583,104583
2025-06-18T10:32:18.232708Z,BTC-USD,104585,104585,104585,104585,104583,104583
2025-06-18T10:32:18.232708Z,BTC-USD,104585,104585,104585,104585,104583,104583
2025-06-18T10:32:18.232708Z,BTC-USD,104585,104585,104585,104585,104583,104583
2025-06-18T10:32:19.193962Z,BTC-USD,104586,104586,104586,104586,104583,104583
2025-06-18T10:32:19.193962Z,BTC-USD,104586,104586,104593,104589,104583,104584
2025-06-18T10:32:19.193962Z,BTC-USD,104593,104586,104593,104589,104584,104584
2025-06-18T10:32:19.194252Z,BTC-USD,104593,104586,104593,104590,104584,104584
2025-06-18T10:32:19.194252Z,BTC-USD,104593,104586,104597,104591,104584,104584
2025-06-18T10:32:19.273732Z,BTC-USD,104597,104597,104597,104597,104585,104585
2025-06-18T10:32:19.340494Z,BTC-USD,104597,104597,104600,104598,104585,104585
2025-06-18T10:32:19.340494Z,BTC-USD,104600,104597,104600,104598,104586,104586
2025-06-18T10:32:19.340494Z,BTC-USD,104600,104597,104600,104598,104586,104586
2025-06-18T10:32:19.367708Z,BTC-USD,104601,104601,104601,104601,104587,104587
2025-06-18T10:32:19.858260Z,BTC-USD,104601,104601,104601,104601,104588,104587
2025-06-18T10:32:19.858260Z,BTC-USD,104601,104601,104602,104602,104588,104588
2025-06-18T10:32:19.906677Z,BTC-USD,104603,104603,104603,104603,104589,104589
2025-06-18T10:32:19.906677Z,BTC-USD,104603,104603,104606,104605,104589,104589
2025-06-18T10:32:20.383705Z,BTC-USD,104606,104606,104606,104606,104590,104590
2025-06-18T10:32:20.383705Z,BTC-USD,104606,104606,104606,104606,104591,104591
2025-06-18T10:32:20.383705Z,BTC-USD,104606,104606,104606,104606,104591,104591
2025-06-18T10:32:20.383705Z,BTC-USD,104606,104606,104607,104606,104592,104592
2025-06-18T10:32:20.383705Z,BTC-USD,104607,104606,104609,104608,104592,104592
2025-06-18T10:32:20.460929Z,BTC-USD,104609,104609,104609,104609,104593,104593
2025-06-18T10:32:20.906432Z,BTC-USD,104609,104609,104609,104609,104594,104594
